,title,url,experience,salary,location,skills,search_type
874,Linux Administrator/windows Administrator,https://www.naukri.com/job-listings-linux-administrator-windows-administrator-randstad-pune-maharashtra-1-to-6-years-160623006117,5-10 Yrs,Not disclosed,['New Delhi'],"['Mac', 'Microsoft Windows', 'Technology', 'Management', 'C++', 'Devops', 'Cd', 'Project management']",Windows and Linux
875,Windows administrator with Linux and SSO Experience,https://www.naukri.com/job-listings-windows-administrator-with-linux-and-sso-experience-technerds-solutions-chennai-tamil-nadu-7-to-12-years-140623004305,3-5 Yrs,Not disclosed,['Nagpur'],"['php', 'python', 'management', 'dns', 'patch management', 'wintel', 'coldfusion', 'windows administration']",Windows and Linux
876,"Device Drivers, Kernel (Linux, MAC OS & Windows) 6+ Product, Bangalore",https://www.naukri.com/job-listings-device-drivers-kernel-linux-mac-os-windows-6-product-bangalore-cambio-consulting-bangalore-bengaluru-6-to-11-years-120623001264,5-7 Yrs,Not disclosed,['Pune'],"['c++', 'android', 'io', 'software', 'tcp', 'firewall', 'ios', 'end']",Windows and Linux
877,Server Administrator - Linux/Windows Server,https://www.naukri.com/job-listings-server-administrator-linux-windows-server-prov-hr-solution-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-2-to-5-years-310523900172,5-6 Yrs,Not disclosed,['Pune'],"['linux', 'tcp', 'mac', 'firewall', 'debugging', 'http', 'ios', 'end']",Windows and Linux
878,SRE Azure Windows Admin/ SRE Azure Linux Admin,https://www.naukri.com/job-listings-sre-azure-windows-admin-sre-azure-linux-admin-tata-consultancy-services-tcs-kolkata-west-bengal-hyderabad-secunderabad-telangana-chennai-tamil-nadu-3-to-8-years-300523003549,5-10 Yrs,Not disclosed,['Coimbatore'],"['linux administration', 'application', 'data management', 'application security', 'management', 'troubleshooting', 'program', 'database administration']",Windows and Linux
879,"DevOps CI/CD Engineer (Windows, Linux, MacOs)",https://www.naukri.com/job-listings-devops-ci-cd-engineer-windows-linux-macos-rohde-schwarz-india-pvt-limited-new-delhi-5-to-10-years-240523500574,5-8 Yrs,Not disclosed,['Kolkata'],"['software engineering', 'processing', 'python', 'simulation', 'mfc', 'signalling', 'microsoft windows', 'architecture']",Windows and Linux
880,Windows & Linux Administrator,https://www.naukri.com/job-listings-windows-linux-administrator-niveshan-technologies-india-pvt-ltd-nagpur-3-to-5-years-230123501634,7-12 Yrs,Not disclosed,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad/Secunderabad', 'Pune', 'Chennai', 'Bangalore/Bengaluru']","['talent management', 'recruitment', 'linux administration', 'solaris', 'data management', 'networking', 'management', 'reporting']",Windows and Linux
881,Sr Software Engineer- End Point (Windows /Mac /IOS / Android /Linux),https://www.naukri.com/job-listings-sr-software-engineer-end-point-windows-mac-ios-android-linux-zscaler-inc-pune-5-to-7-years-080523500442,3-7 Yrs,Not disclosed,"['Hubli', 'Mangaluru/Mangalore', 'Mysore/Mysuru', 'Bangalore/Bengaluru', 'Belagavi/Belgaum']","['Redhat Linux', 'Administration', 'Load balancing', 'Windows administration', 'VMware', 'EMC', 'Forensic', 'WSUS']",Windows and Linux
882,Software Engineering Manager - Network Security and Platform,https://www.naukri.com/job-listings-software-engineering-manager-network-security-and-platform-cisco-meraki-bangalore-bengaluru-12-to-20-years-160523500050,12-20 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['engineering management', 'vpn', 'scrum', 'network security', 'wan', 'c++', 'engineering', 'network engineering']",CISCO
883,"Software Engineer, Routing & SD-WAN",https://www.naukri.com/job-listings-software-engineer-routing-sd-wan-cisco-meraki-bangalore-bengaluru-3-to-7-years-080223500633,3-7 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['firmware', 'dns', 'linux', 'routing', 'cisco', 'wan', 'software engineering', 'sdwan']",CISCO
884,Senior Software Engineer - MX Service Provider,https://www.naukri.com/job-listings-senior-software-engineer-mx-service-provider-cisco-meraki-bangalore-bengaluru-2-to-6-years-080223500622,2-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['linux', 'firmware', 'ospf', 'scrum', 'dhcp', 'software', 'troubleshooting', 'wireless']",CISCO
885,Lead Software Engineer - MX Service Provider,https://www.naukri.com/job-listings-lead-software-engineer-mx-service-provider-cisco-meraki-bangalore-bengaluru-3-to-7-years-080223500612,3-7 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['software', 'cisco', 'firmware', 'mx', 'troubleshooting', 'security', 'network security', 'vpn']",CISCO
886,Software QA Engineer,https://www.naukri.com/job-listings-software-qa-engineer-cisco-meraki-bangalore-bengaluru-3-to-6-years-020523502333,3-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['open source', 'software', 'cisco', 'selenium', 'rdbms', 'javascript', 'software qa', 'automation testing']",CISCO
887,Full Stack Application Software Engineer,https://www.naukri.com/job-listings-full-stack-application-software-engineer-cisco-meraki-bangalore-bengaluru-5-to-7-years-020523502331,5-7 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['networking protocols', 'application software', 'cisco', 'rail', 'software', 'design', 'rails', 'web technologies']",CISCO
888,Software Engineer (C/C++) Routing & SD-WAN (MX),https://www.naukri.com/job-listings-software-engineer-c-c-routing-sd-wan-mx-cisco-meraki-bangalore-bengaluru-3-to-5-years-280223501262,3-5 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['software', 'cisco', 'firmware', 'mx', 'troubleshooting', 'routing', 'dns', 'network security']",CISCO
889,"Senior Software Engineer, Full Stack - MS Cloud",https://www.naukri.com/job-listings-senior-software-engineer-full-stack-ms-cloud-cisco-meraki-bangalore-bengaluru-5-to-9-years-080223500624,5-9 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['dbms', 'openstack', 'cisco', 'full stack', 'microsoft', 'software', 'git', 'database design']",CISCO
890,"Senior Software Engineer, Full Stack - MS Cloud",https://www.naukri.com/job-listings-senior-software-engineer-full-stack-ms-cloud-cisco-meraki-bangalore-bengaluru-5-to-9-years-080223500623,5-9 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['full stack', 'quality assurance', 'x86', 'management', 'software engineering', 'ethernet', 'ms cloud', 'bluetooth']",CISCO
891,"Engineering Manager, Systems Engineer (SM) Devices",https://www.naukri.com/job-listings-engineering-manager-systems-engineer-sm-devices-cisco-meraki-bangalore-bengaluru-6-to-10-years-080223500608,6-10 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['system engineering', 'automation', 'automation framework', 'cisco', 'management', 'framework', 'engineering management', 'android']",CISCO
